,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,
Genus,phylum,class,order,family,genus,motility,life_habit,diet,Danian,Maastrichtian,Campanian,Santonian,Coniacian,Turonian,Cenomanian,Albian,Aptian,Barremian,Hauterivian,Valanginian,Berriasian,Tithonian,Santonian and Coniacian,Early Campanian,Middle Campanian,Late Campanian,Early Albian,Middle Albian,Late Albian,Early Aptian,Late Aptian,Faunality-GLM,Mobility-GLM,suspension feeder,detritivore,carnivore,grazer,deposit feeder,chemosymbiotic,omnivore,photosymbiotic,herbivore,boring,deep infaunal,epifaunal,gregarious,infaunal,intermediate-level epifaunal,low-level epifaunal,nektobenthic,nektonic,semi-infaunal,shallow infaunal,actively mobile,facultatively mobile,attached,fast-moving,passively mobile,slow-moving,stationary,epibiont,Stage Singleton?
Abrytusites,0,Mollusca,Cephalopoda,Ammonitida,Desmoceratidae,Abrytusites,fast-moving,nektonic,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Yes
Acanthocardia,0,Mollusca,Bivalvia,Cardiida,Cardiidae,Acanthocardia,facultatively mobile,infaunal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Yes
Acanthoceras,0,Mollusca,Cephalopoda,Ammonitida,Acanthoceratidae,Acanthoceras,fast-moving,nektonic,0,0,0,0,0,0,81,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,No
Acanthodiscus,0,Mollusca,Cephalopoda,Ammonitida,Neocomitidae,Acanthodiscus,fast-moving,nektonic,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Yes
Acanthohoplites,0,Mollusca,Cephalopoda,Ammonitida,Parahoplitidae,Acanthohoplites,fast-moving,nektonic,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,No
Acanthoplites,0,Mollusca,Cephalopoda,Ammonitida,Parahoplitidae,Acanthohoplites,fast-moving,nektonic,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Yes
Acanthoptychoceras,0,Mollusca,Cephalopoda,Ammonitida,Ancyloceratidae,Acanthoptychoceras,fast-moving,nektonic,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Yes
Acanthoscaphites,0,Mollusca,Cephalopoda,Ammonitida,Scaphitidae,Acanthoscaphites,fast-moving,nektonic,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,No
Acanthoxenophora,0,Mollusca,Gastropoda,0,Xenophoridae,Acanthoxenophora,actively mobile,epifaunal,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Yes
