,Tax. Level,Method,Berr,Vala,Haut,Barr,E.Apt,L.Apt,EM.Alb,L.Alb,Ceno,Turo,Coni,Sant,E.Cam,M.Cam,L.Cam,Maas
Average,Genus,m3,0.35,0.17,0.28,0.62,0.24,-0.01,0.19,-0.15,0.16,0.58,0.14,0.08,0.42,-0.24,-0.28,0.84
SD,Genus,m3,0.17,0.16,0.16,0.24,0.23,0.15,0.13,0.07,0.11,0.14,0.12,0.12,0.16,0.06,0.04,0.15
2 SD,Genus,m3,0.34,0.32,0.32,0.48,0.45,0.3,0.27,0.14,0.21,0.28,0.24,0.24,0.32,0.11,0.08,0.29
Median,Genus,m3,0.33,0.15,0.27,0.6,0.21,-0.02,0.18,-0.15,0.16,0.57,0.14,0.08,0.41,-0.24,-0.28,0.83
Range,Genus,m3,1.33,1.08,1.05,1.98,1.67,1.01,1.45,0.47,0.7,1.01,0.8,0.96,1.17,0.38,0.27,0.97
Min,Genus,m3,-0.11,-0.2,-0.15,0.04,-0.25,-0.41,-0.11,-0.35,-0.1,0.18,-0.17,-0.24,0.01,-0.41,-0.41,0.46
Max,Genus,m3,1.21,0.87,0.89,2.02,1.43,0.61,1.34,0.12,0.6,1.19,0.63,0.72,1.18,-0.03,-0.13,1.43
Skew,Genus,m3,0.62,0.72,0.31,0.76,0.88,0.65,1.08,0.42,0.36,0.53,0.5,0.47,0.51,0.27,0.04,0.48
Kurtosis,Genus,m3,1.23,0.64,0.07,1.45,1.37,0.86,5.55,0.63,0.51,0.85,0.62,0.89,0.56,0.12,0.09,0.63
Average,Genus,mg,0.355,0.256,0.341,0.286,-0.023,-0.07,0.099,0.058,0.361,0.27,0.035,0.213,-0.027,-0.185,0.009,
SD,Genus,mg,0.111,0.137,0.118,0.148,0.109,0.139,0.096,0.059,0.092,0.097,0.076,0.093,0.096,0.059,0.016,
2 SD,Genus,mg,0.221,0.274,0.237,0.295,0.218,0.278,0.193,0.118,0.185,0.194,0.152,0.186,0.192,0.117,0.032,
Median,Genus,mg,0.348,0.245,0.331,0.274,-0.028,-0.065,0.097,0.056,0.355,0.265,0.035,0.206,-0.026,-0.18,0,
Range,Genus,mg,0.801,0.92,0.904,0.945,0.958,1.381,0.617,0.398,0.615,0.674,0.493,0.802,0.605,0.372,0.105,
Min,Genus,mg,0,-0.14,0.057,-0.143,-0.552,-0.619,-0.197,-0.123,0.127,-0.046,-0.193,-0.035,-0.351,-0.413,0,
Max,Genus,mg,0.801,0.78,0.961,0.802,0.405,0.762,0.42,0.275,0.742,0.629,0.3,0.767,0.254,-0.041,0.105,
Skew,Genus,mg,0.326,0.538,0.496,0.343,-0.087,-0.023,0.174,0.348,0.386,0.121,0.197,0.507,-0.041,-0.344,2.009,
Kurtosis,Genus,mg,0.424,0.741,0.734,0.243,0.602,1.978,0.036,0.475,0.341,-0.018,0.401,1.233,0.004,0.198,4.944,
Average,Spp.,m3,,0.35,0.79,-0.04,0.08,0.31,0.05,0,0.26,0.22,0.28,0.82,0.17,0.05,0.16,
SD,Spp.,m3,,0.07,0.08,0.06,0.08,0.09,0.07,0.06,0.07,0.07,0.09,0.15,0.13,0.1,0.09,
2 SD,Spp.,m3,,0.14,0.15,0.11,0.16,0.17,0.14,0.12,0.14,0.14,0.18,0.3,0.25,0.2,0.18,
Median,Spp.,m3,,0.35,0.79,-0.04,0.08,0.31,0.05,0,0.27,0.22,0.28,0.81,0.16,0.03,0.16,
Range,Spp.,m3,,0.48,0.51,0.36,0.47,0.47,0.58,0.43,0.5,0.48,0.59,1.31,1.01,0.63,0.58,
Min,Spp.,m3,,0.13,0.56,-0.21,-0.14,0.07,-0.15,-0.21,0.06,0,0.04,0.42,-0.17,-0.2,-0.1,
Max,Spp.,m3,,0.61,1.07,0.15,0.34,0.54,0.42,0.23,0.56,0.47,0.63,1.73,0.83,0.43,0.48,
Skew,Spp.,m3,,0.11,0.16,0.1,0.25,0.03,0.36,0.22,0.23,0.25,0.37,0.39,0.62,0.49,0.27,
Kurtosis,Spp.,m3,,0.16,0.17,-0.03,-0.05,-0.15,0.63,0.13,0.36,0.14,0.32,1.28,1.22,0.15,0.12,
Average,Spp.,mg,,0.613,0.271,-0.041,0.215,0.058,-0.015,0.228,0.377,0.241,0.311,0.286,0.009,0.141,,
SD,Spp.,mg,,0.071,0.048,0.035,0.062,0.057,0.052,0.055,0.057,0.055,0.075,0.095,0.055,0.067,,
2 SD,Spp.,mg,,0.143,0.096,0.07,0.124,0.114,0.105,0.109,0.115,0.111,0.149,0.19,0.11,0.134,,
Median,Spp.,mg,,0.613,0.271,-0.042,0.211,0.059,-0.017,0.226,0.374,0.238,0.309,0.288,0.012,0.139,,
Range,Spp.,mg,,0.456,0.342,0.242,0.369,0.36,0.356,0.314,0.372,0.351,0.408,0.546,0.347,0.396,,
Min,Spp.,mg,,0.397,0.098,-0.172,0.043,-0.139,-0.213,0.081,0.225,0.084,0.119,0.035,-0.159,-0.045,,
Max,Spp.,mg,,0.853,0.441,0.069,0.412,0.221,0.143,0.395,0.597,0.435,0.527,0.581,0.188,0.35,,
Skew,Spp.,mg,,0.096,-0.019,-0.006,0.267,-0.03,0.071,0.18,0.238,0.305,0.128,0.1,-0.005,0.13,,
Kurtosis,Spp.,mg,,0.021,0.225,0.1,-0.028,-0.114,0.056,-0.015,0.137,0.176,-0.115,-0.206,0.211,-0.204,,
