lat	long	cold.sst	warm.sst	NumSp	E200
34.82	-74.68	20	24.9	21	19.37478255
37.77	-71.23	15.1	21.8	20	16.91719016
38.13	-69.85	11.7	17.2	13	NA
36.48	-69	17	24.7	17	NA
39.53	-68.78	14.3	21.8	17	15.16773511
31.65	-75.35	16.4	22	18	17.42663447
31.47	-76.47	17.3	24.4	16	14.67730238
17.23	-73.47	22.8	26.2	16	13.89873936
16.2	-72.32	21.2	25.2	17	14.88501427
33.87	-62.53	16.4	23.4	19	16.54606805
24.8	-75.92	22.3	26.7	17	14.40187842
39.45	-45.95	11.5	18	15	11.81783879
39.27	-36.7	15.2	21.6	16	14.06320545
38.35	-32.48	12.4	17.6	16	14.62151636
29.12	-26.25	16.5	21.9	18	16.25429795
25.83	-19.3	14.4	18.3	19	15.81872694
15.32	-17.92	14.7	24.2	17	15.46797353
15.32	-18.1	18.9	26.4	17	14.84860417
12.23	-17.77	14.1	20.8	18	16.40649477
0.58	-21.78	15.6	26.7	15	13.26541452
0.17	-23	20.1	26.8	18	15.8846336
50	-23.73	3.1	8	6	5.017721047
49.98	-25.02	2.7	7.7	4	2.935362476
51.55	-29.57	2.9	7.8	4	3.662120612
53.93	-24.08	3.2	8.1	4	3.988414132
52.73	-22.55	3.2	8.2	5	4.822722609
57.48	-27.52	3.2	8.1	5	4.567995365
37.22	-33.13	11.2	16.2	18	15.79038653
35.05	-11.62	13.9	17.9	19	17.38528171
0.2	-39.9	24.4	26.9	17	14.20912511
5.07	-36.8	26.3	26.7	20	18.11196556
15.4	-43.4	24.2	27.1	19	15.95883707
11.75	-80.43	22.4	26.6	17	15.39033152
32.75	-41.9	15.9	20.2	15	14.42063806
2	-5.25	21.3	22.9	16	13.8100186
31.17	-45.13	16	22.1	18	15.30366825
22.13	-41.5	22.8	26.7	21	17.44730059
23.37	-43.65	22.6	26.9	19	16.06150788
8.72	-41.25	23.6	25.8	21	18.61887666
3.38	-20.12	20.6	26.2	14	13.67208521
4.67	-20.92	22.9	25.6	19	17.8088664
13.83	-18.95	16.6	24.5	17	14.66137055
14.17	-18.58	15.1	21	18	17.19860728
56.07	-44.55	3.6	8.4	5	4.599127504
62.17	-27.92	3	7.9	5	4.674355472
54.25	-16.83	3.1	8.1	6	5.21882641
52.58	-21.93	2.7	7.6	5	3.249645728
49.87	-24.25	2.7	7.6	5	3.678351621
46	-16.92	5	10	6	5.374475479
29.58	-28.57	16.1	23.4	20	19.00479106
23.12	-19.3	8.5	13.5	15	14.22469607
21.3	-22.68	14.5	20	17	16.05396543
36.5	-73.5	14.3	20.4	16	14.68912538
15.32	-77.95	23	26.9	18	16.00914869
12.55	-50.65	24.7	27.6	18	14.60635891
11.5	-45.15	24	27	19	17.67106005
1.37	-33.47	22.6	24.3	17	15.14717696
3.27	-34.82	23.3	25.6	19	17.60979896
19.32	-26.1	20.4	24.9	18	16.01567698
9.55	-18.17	18.3	23.4	16	15.63971733
-0.08	-41.78	24.5	27	16	13.37976558
4.68	-46.87	24	26.1	15	13.84417741
50.08	-37.3	2.7	7.7	2	1.600600601
52.08	-38.8	3.1	8	6	5.423736026
54	-46.2	3.9	8.8	6	5.460686303
56.88	-18.48	3.5	8.4	6	5.414976453
52.83	-30.33	3.1	8	5	4.520252786
42.68	-17.07	5.8	11.4	10	8.275119494
8.8	-22.1	22.4	26.5	18	16.55379694
5.1	-26.65	24.5	26.8	15	13.76740971
3.05	-11.8	21.4	24.6	12	NA
35	-40.92	15	20.3	19	16.37346297
44.53	-32.58	4.6	9.4	10	8.423611346
17.03	-76.6	22.4	26.4	18	15.94740106
11.12	-80.4	23.2	26.7	14	12.82864699
33.7	-29.38	15.8	21.1	17	16.36123725
33.7	-29.38	15.2	21.6	19	17.66058622
36.28	-29.35	14.8	21.4	15	13.46993873
41.53	-25.7	11.3	16.2	14	11.00489897
42.83	-25.15	8.9	13.4	10	9.451552108
44	-24.53	7.8	12.5	11	9.924818513
45.3	-23.87	6.3	10.5	9	8.348507355
39.93	-33.13	12.7	17.6	14	12.6053951
41	-37.93	11.1	17	12	10.49064666
43.15	-32.45	9.3	13.9	13	10.95492275
44.1	-32.5	7.3	11.6	10	8.868089343
33.57	-62.38	15.4	20	21	18.57883568
11.18	-58.58	23.5	26.5	19	16.97268511
54.97	-15.38	2.9	7.8	5	4.449825502
11.77	-81.08	22.7	26.8	18	15.84043904
15.85	-74.78	22.3	26.3	20	17.27909153
16.7	-75.43	22.4	26.4	15	14.11964777
15.05	-75.95	22	26.2	18	17.06685655
13.17	-79.82	22.4	26.4	18	16.42638435
14.68	-77.17	22.5	26.6	19	16.77810331
42.38	-21.97	10.5	15.2	13	11.01592997
46.92	-18.58	2.7	7.6	4	3.16884014
25.87	-19.05	14.6	18.8	15	13.59050814
19.65	-19.1	9.9	15.6	15	13.67002442
56.98	-12.47	3	7.9	4	3.557863763
32.82	-18.52	14.8	21.3	15	12.97179376
