lat	long	cold.sst	warm.sst	NumSp	E200
44.35	-30.267	13.73	20.01	18	17.31100908
28	-38.783	21.26	26.12	17	15.12119991
50.933	-41.75	8.79	14.79	14	10.86536761
35.717	-67.333	19.07	26.79	20	17.78699791
36.133	-68.917	19.17	27.3	20	17.86002336
36.133	-69.133	19.4	27.34	20	18.60925156
35.783	-68.933	19.46	26.87	20	18.43843283
36.217	-69.4	19.4	27.34	19	17.63352378
37.65	-72.95	14.74	26.09	16	14.90935551
31.833	-74.35	20.57	28	18	15.84118076
31.65	-75.35	21.1	28.16	21	19.69495514
29.767	-76.8	22.26	28.66	20	17.95226095
19.4	-78.55	26.54	29.61	18	15.89446275
19.917	-73.833	26.49	28.86	16	14.39536837
23.933	-75.75	24.28	28.94	14	12.68766495
24.8	-75.917	23.86	28.99	15	13.19617726
30.783	-67.667	20.1	27.86	16	13.7996553
35.767	-69.083	19.74	26.98	20	18.82715962
39.133	-42.65	16.61	24.3	19	16.48431612
39.267	-36.7	15.97	23.76	21	18.14310091
33.567	-27.367	18.11	24.42	20	17.29787234
25.833	-19.3	19.97	23.27	20	18.9061407
5.283	-17.067	26.68	27.77	22	21.24044102
3.65	-18.3	26.21	27.95	16	13.58450641
0.583	-21.783	24.91	27.41	17	15.52182634
10.55	-57.333	26.74	28.43	16	14.15952102
20.717	-59.2	25.04	27.99	14	11.44772944
42.467	-54.9	8.82	21.72	16	13.15870415
23.75	-92.467	23.33	29.62	15	13.80954856
37.217	-33.133	16.39	24.04	19	18.02984348
36.85	-21.017	16.33	22.92	22	19.04123264
35.05	-11.617	16.17	21.49	23	21.47138515
32.6	-69.5	18.71	27.18	20	18.36101408
32.283	-65.117	18.98	27.29	21	19.13439583
32.2	-64.7	19.03	27.26	17	15.78364073
17.55	-63.567	26.01	28.36	9	8.373643678
29.283	-79.917	22.64	28.91	20	16.36379004
38.917	-57.133	18.53	26.17	17	15.89070384
36.9	-54.033	18.17	25.94	17	15.36704257
34.667	-61.45	18.61	26.62	22	19.10112375
40.767	-64.6	10.61	23.25	17	14.86932688
8.233	-37.867	26.01	27.85	18	13.86406514
22.95	-38.2	23.06	25.86	16	13.07163672
23.017	-43.8	23.14	26.38	15	13.61838221
24.267	-53.067	23.43	27.63	16	12.68644078
11.183	-36.017	24.95	27.24	19	17.83014444
1.75	-16.05	24.7	27.69	20	16.22065868
17	-74.383	26.56	28.46	19	16.64383799
15.483	-40.517	24.65	26.33	16	15.33297296
0.85	-32.85	26.17	27.35	15	13.87397206
30.517	-75.917	21.12	28.28	23	19.44950046
17.933	-50.35	25.06	27.24	17	13.90256287
17.267	-48.417	24.92	27.06	18	14.86944912
13.25	-40.667	24.97	26.8	19	16.95593501
1.967	-37.067	27.06	27.37	15	12.31754016
15.4	-43.4	24.94	26.66	20	18.03453476
23.333	-46.483	23.37	26.73	14	12.82648018
30	-51.867	20.89	27.53	21	15.88126718
60.033	-50.833	1.13	5.84	5	4.127695702
28.483	-65.05	21.54	28.34	18	14.31436856
12.383	-18.917	21.9	27.57	20	18.45459978
24.967	-28.933	21.48	24.41	20	16.89951803
27.967	-34.133	21.01	25.52	17	14.08074146
29.617	-36.917	20.24	25.92	20	17.14520303
32.75	-41.9	18.96	26.28	19	17.8728758
58.367	-47.733	2.24	7.14	6	4.616509229
60.733	-57.833	-0.73	6.8	4	3.086071176
13.733	-51.117	25.94	27.62	19	17.88628158
4.233	-47.75	27.25	27.66	13	11.13637445
38.75	-67.55	14.83	25.82	18	16.93760085
1.417	-9.083	24.19	27.92	17	16.46524417
3.65	-15.05	26.03	28.29	15	13.7385988
29.017	-41.4	20.42	26.52	19	15.76346139
11.533	-60.517	26.58	28.36	12	10.6191711
2	-35.6	26.77	27.31	14	12.55589288
5.317	-33.033	26.87	27.57	19	16.400383
8.467	-30.133	25.75	27.45	20	17.09723755
23.367	-43.65	23.14	26.38	15	13.25490598
38.283	-68.533	14.28	25.69	19	15.09366239
12.75	-45.633	25.51	27.34	18	15.11917641
8.717	-41.25	26.11	28.19	16	14.7406977
4.667	-20.917	26.71	27.48	21	19.53890053
14.4	-21.15	22.35	26.68	16	14.24820234
15.017	-23.233	22.43	26.03	22	18.2856055
20.7	-31.45	22.68	24.98	23	19.87526028
27.917	-43.633	21.56	26.71	17	16.13020243
34.75	-57.25	18.51	26.53	19	17.02915256
41.517	-45.133	15.93	23.62	19	17.2770726
54.2	-45.967	4.79	10.57	7	6.111281075
59.95	-32.85	6.21	9.78	9	7.442572088
62.65	-27.533	7.32	10.99	8	7.146939484
70.05	8.317	5.46	9.77	6	5.46900113
54.25	-16.833	10.22	14.57	12	10.54651214
52.583	-21.933	10.27	15.02	12	10.281613
49.867	-24.25	11.48	16.55	11	10.40372946
46	-16.917	12.37	18.78	17	15.46389945
29.8	-15.083	18.16	22.23	23	19.59190366
19.883	-25.533	21.65	24.71	17	16.40424846
17.2	-35.833	23.67	25.66	17	16.19986134
17.483	-40.667	24.29	26.15	22	19.56788616
22.6	-72.6	25.06	28.57	17	15.1383211
26.783	-46.683	22.2	26.99	19	16.68531328
9.317	-42.983	25.84	28.05	17	16.27903141
27.917	-47.767	21.82	27.19	19	15.9327002
6.267	-17.9	26.74	27.33	13	12.72626054
6.017	-18.233	26.79	27.1	17	15.58700581
5.833	-18.083	26.73	27.55	13	12.55929831
0.3	-14.8	23.74	27.35	15	13.38648801
30.45	-67.967	20.1	27.86	18	14.92940961
42.783	-54.333	8.82	21.72	14	10.22293261
42.267	-60.483	6.68	20.58	15	13.10667599
42.733	-43.217	16.15	23.2	19	17.06642079
44.15	-39.867	14.48	20.71	16	13.83967415
54	-46.2	5.18	11.38	9	7.812696835
54.033	-46.85	4.52	10.5	8	6.957715353
54.717	-53.1	-0.49	7.64	6	5.146613546
55.967	-56.05	-0.93	7.05	2	1.99554636
56.717	-54.683	0.1	7.97	4	3.200883122
58.183	-44.6	2.82	6.87	7	5.528812976
59.133	-41.067	3.85	7.64	5	4.997276348
60.7	-37.267	4.89	9.47	6	5.490196067
61.933	-33.267	5.36	9.93	7	6.439718109
61.367	-11.483	8.36	11.87	10	9.033140658
62.85	-17.917	7.52	11.55	10	8.657966239
55.033	-33.067	6.4	11.1	7	6.769825335
48.283	-16.967	11.71	17.36	17	14.07516811
43.783	-14.683	12.77	19.42	13	12.97014925
43.967	-15.8	12.84	19.56	14	13.02236557
42.683	-17.067	13.33	20.13	18	16.71171283
39.7	-20.15	14.86	21.73	18	17.10031975
39.583	-13.55	14.53	20.55	17	14.94739672
34.183	-16.85	16.89	22.12	21	19.33363526
29.483	-19.6	18.75	22.98	19	17.89602977
25.933	-26.583	20.9	24.11	19	18.06159122
16.533	-28.85	22.77	25.79	21	19.3084168
8.8	-22.1	25.36	27	20	18.27478581
5.1	-26.65	26.47	27.28	16	11.91027113
2.25	5.717	25.64	28.52	16	14.3351121
0.983	1.983	24.84	28.34	18	16.46461547
3.05	-11.8	25.93	28.33	19	17.18479504
1.033	-13.617	24.36	27.8	19	17.58002664
20.167	-26.617	21.76	24.63	23	19.5480426
35.567	-43.9	17.77	25.76	20	17.71938989
55.533	-47.1	3.57	9.51	6	5.918615335
76.817	-1.333	-1.78	-0.38	3	2.532064961
73.483	-0.833	-0.49	5.49	3	2.682405297
72.183	5.267	3.13	8.31	6	5.235327249
71.167	1.617	2.41	8.13	5	4.537739526
64.833	-3.583	4.41	10.29	5	4.691071122
68.717	-12.717	-0.2	6.61	3	2.591125334
67.683	0.233	5.23	10.57	6	5.486049492
65.517	0.2	5.6	11.14	9	7.211725308
60.55	-11.45	8.76	12.43	7	6.447267359
60.617	-15.183	8.44	12.4	12	9.369512914
49.45	-22.267	11.61	16.64	15	12.92836583
47.467	-19.983	12.23	17.93	14	13.22466221
44.533	-32.583	13.8	20.13	18	15.55279751
42.167	-42.1	16.29	23.04	19	16.83718234
26.783	-50.833	22.51	27.45	18	15.54444113
12.267	-81.7	26.72	28.12	22	18.81301172
16.367	-17.917	19.93	27.17	19	18.0339576
