lat	long	cold.sst	warm.sst	NumSp	E200
11.49	-79.38	27.5	26.44	25	22.00639476
11.49	-79.38	26.98	27.49	20	19.17638378
11.49	-79.38	28.31	27.68	21	19.42093992
11.49	-79.38	27.9	28.2	21	19.43270044
11.49	-79.38	27.72	28.36	22	19.97918382
11.49	-79.38	27.78	27.3	23	20.96317392
11.49	-79.38	28.25	27.68	23	21.22056602
11.49	-79.38	27.14	26.7	24	21.94287412
11.49	-79.38	26.44	27.08	21	19.75414864
11.49	-79.38	27.84	27.28	19	18.6217114
11.49	-79.38	26.73	28.66	24	22.38146623
11.49	-79.38	27.16	28.32	23	21.581986
11.49	-79.38	26.61	28.32	22	20.47661817
11.49	-79.38	27.09	28.29	23	20.98633561
11.49	-79.38	26.44	28.2	25	22.14643573
11.49	-79.38	26.3	28.42	24	21.99233321
11.49	-79.38	26.43	28.58	23	21.39667719
11.49	-79.38	26.49	28.3	22	21.14679279
11.49	-79.38	25.77	28.43	23	21.48721281
11.49	-79.38	27.31	28.8	23	21.50706981
11.49	-79.38	28.49	29.3	23	21.15557441
11.49	-79.38	27.02	28.88	22	21.07386317
11.49	-79.38	28.59	28.6	21	20.1163199
11.49	-79.38	27.94	27.57	24	21.88111642
11.49	-79.38	26.42	28.49	25	23.43034888
11.49	-79.38	27.52	27.65	21	20.23684004
15.52	-58.72	27.92	27.66	20	18.22241606
15.52	-58.72	24.29	26.05	17	16.22909724
15.52	-58.72	26.35	26.69	20	18.68880005
15.52	-58.72	27.84	27.56	20	18.50858882
15.52	-58.72	25.94	26.82	20	17.99291505
33.8	-9.6	20.83	26.88	19	17.63079543
33.8	-9.6	18.81	25.01	18	16.6133925
33.8	-9.6	16.95	23.56	20	18.18816324
33.8	-9.6	16.24	22.47	23	21.25689651
33.8	-9.6	17.82	24.78	22	20.4435566
33.8	-9.6	18.15	23.47	20	18.18190544
33.8	-9.6	17.26	24.63	22	19.88514926
33.8	-9.6	19.11	24.17	20	18.85852561
56.04	-23.23	11.17	20.31	13	11.66030204
56.04	-23.23	9.3	16.75	9	8.943083249
56.04	-23.23	11.45	18.38	13	12.25529642
56.04	-23.23	10.18	17.82	14	12.97541949
56.04	-23.23	11.03	19.91	13	11.99710355
56.04	-23.23	10.17	19.77	11	10.42195
56.04	-23.23	13.08	22.8	14	12.8715285
56.04	-23.23	13.16	22.25	13	12.42049153
56.04	-23.23	10.91	18.87	12	11.62112173
56.04	-23.23	12.78	21.13	14	12.55003832
56.04	-23.23	12.8	21.96	16	14.34798927
56.04	-23.23	13.18	21.42	14	13.30937001
56.04	-23.23	11.71	20.83	13	12.73685736
56.04	-23.23	12.72	22.63	14	13.01845094
56.04	-23.23	13.9	24.1	13	12.04392
56.04	-23.23	12.95	23.32	15	13.37044685
56.04	-23.23	9.51	16.28	12	11.19154253
56.04	-23.23	12.66	21.41	15	13.59558492
56.04	-23.23	10.14	16.94	10	9.228336226
35.49	-70.03	23.74	27.35	21	19.90058542
35.49	-70.03	23.33	28.4	19	18.71897699
35.49	-70.03	22.83	26.58	25	22.80009767
35.49	-70.03	22.56	27.51	25	23.59276399
35.49	-70.03	25.63	26.65	27	25.23412955
35.49	-70.03	22.72	27.28	27	25.40747542
35.49	-70.03	22.13	27.35	25	23.09684793
35.49	-70.03	26.34	28.6	22	19.87111333
35.49	-70.03	22.12	26.46	25	24.36276695
37.34	-35.5	17.12	24.42	22	20.65439649
37.34	-35.5	18.51	26.27	20	18.90098208
37.34	-35.5	17.83	26.14	22	20.85240311
37.34	-35.5	18.07	26.34	25	22.9869339
37.34	-35.5	21.74	26.4	23	21.58703684
37.34	-35.5	18.49	27.48	18	16.73216499
37.34	-35.5	17.74	25.71	22	20.46865702
37.34	-35.5	17.66	27.79	20	18.66001758
37.34	-35.5	17.69	25.84	21	20.39570728
37.34	-35.5	19.29	22.09	21	20.28482475
37.34	-35.5	18.56	25.18	22	20.0880626
37.34	-35.5	22.02	27.47	24	22.16670117
37.34	-35.5	20.35	22.5	22	21.41411833
37.34	-35.5	18.88	22.11	22	20.46988393
37.34	-35.5	20.85	27.08	23	21.52398661
37.34	-35.5	18.71	27.03	20	18.66021211
37.34	-35.5	18.97	26.23	21	19.53344053
37.34	-35.5	20.58	27.72	22	20.61907518
37.34	-35.5	19.59	28.62	22	20.80713181
37.34	-35.5	17.85	26.46	23	20.31225299
37.34	-35.5	17.69	25.24	23	20.15525472
37.34	-35.5	18.12	27.6	25	22.2724423
37.34	-35.5	17.45	24.23	21	20.12489506
37.34	-35.5	16.85	23.64	24	22.18642674
37.34	-35.5	17.03	23.66	24	23.23968572
37.34	-35.5	15.88	24.8	23	20.7385326
37.34	-35.5	16.73	26.13	21	20.32818681
37.34	-35.5	17.32	23.8	22	20.51301075
37.34	-35.5	18.67	24.54	23	21.22727553
37.34	-35.5	18.46	24.17	18	17.15002739
41	-32.96	15.01	24.16	18	17.04456722
41	-32.96	15.12	22.23	22	20.14132704
41	-32.96	15.63	23.1	18	17.40773688
41	-32.96	16.27	24.02	19	18.54816934
41	-32.96	16.78	26.21	19	17.99108454
41	-32.96	16.82	26.38	19	18.00205882
41	-32.96	13.61	22.41	20	19.84972921
41	-32.96	13.78	19.84	20	19.34663466
41	-32.96	15.75	24.4	18	16.68076224
41	-32.96	15.12	21.97	20	19.12419428
41	-32.96	13.94	19.15	20	18.465122
41	-32.96	15.26	18.36	18	17.72134045
41	-32.96	15.03	20.51	21	19.78254889
41	-32.96	12.97	18.4	19	17.98802451
41	-32.96	13.46	20.08	18	17.12121747
41	-32.96	14.51	21.49	23	21.29356234
41	-32.96	12.85	19.84	20	19.07859106
41	-32.96	14.26	22.14	22	19.44644766
49.88	-24.24	18.36	25.54	17	16.14940807
49.88	-24.24	14.32	24.87	13	12.30620058
49.88	-24.24	13.9	24.05	14	12.75205492
49.88	-24.24	11.82	19.55	16	14.38553091
49.88	-24.24	20	27.74	18	15.59321283
49.88	-24.24	17.87	27.38	15	14.30210707
49.88	-24.24	18.71	27.2	14	13.26348274
49.88	-24.24	14.48	25.67	15	13.4539657
49.88	-24.24	17.19	26.78	15	13.71300151
49.88	-24.24	19.65	27.86	17	16.14959251
49.88	-24.24	20.06	28.43	17	15.59171906
49.88	-24.24	22.3	27.03	18	15.86647741
49.88	-24.24	22	25.83	17	16.09222352
49.88	-24.24	22.8	26.23	16	14.50555535
49.88	-24.24	16.67	25.6	13	12.12532034
49.88	-24.24	14.83	26.16	17	15.09986176
49.88	-24.24	13.68	22.67	16	13.93163799
49.88	-24.24	18.79	28.36	13	12.21295393
