SubOrder,family_name,occurrence.genus_name,occurrence.species_name,collection_no
,,Hydroporopsis,neptuni,49
Archostemata,,Ironicus,nothrus,49
,,Kamaroma,breve,49
,,Lamiophanes,schroeteri,49
,,Metagrilium,westwoodi,49
,,Pachycoleon,woodlei,49
,,Pantodapus,ewaldi,49
,,Pantodapus,knorri,49
,,Pantodapus,westwoodi,49
,,Paragrilium,barypus,49
,,Prionophana,antiqua,49
,,Prophasis,dubia,49
,,Prophasis,ignota,49
,,Prosthenostictus,ungeri,49
,,Pseudocymindis,antiqua,49
,,Pseudus,purbeccensis,49
,,Semiglobus,chrysomelinus,49
,,Semiglobus,jurassicus,49
,,Semiglobus,neptuni,49
,,Sticrulus,brodiei,49
,,Telephorium,abgarus,49
,,Tentyridium,dilatatum,49
,,Tentyridium,peleus,49
Polyphaga,,Peltosyne,triassica,117
,,Apicasia,inolata,144
,,Apiopyrenides,trigeminus,144
,,Aptilotitus,capitecarens,144
,,Auchenophorites,sculpturatus,144
,,Camaricopterus,ovalis,144
,,Diachoristes,collinus,144
,,Diatrypamene,angulocollis,144
,,Diatrypamene,excavata,144
,,Dicyphelus,concameratus,144
,,Diphymation,corrosum,144
,,Diplocelides,minutus,144
,,Entomocantharus,convexus,144
,,Eurynotellus,brevicollis,144
,,Eurysphinctus,latesulcatus,144
,,Eusarcantarus,compactus,144
,,Gastrodelus,decapitatus,144
,,Gastroratus,dispertitus,144
,,Grasselites,pusillus,144
,,Hydroicetes,affictus,144
,,Laimocenos,striatogranulatus,144
,,Leptomites,procerus,144
,,Leptosolenophorus,brevicollis,144
,,Loxocamarotus,virgatus,144
,,Loxoncus,striatulus,144
,,Macrotrachelites,longus,144
,,Melanocantharis,bicornuta,144
,,Mesotylites,marginatus,144
,,Omogongylus,ovatus,144
,,Ooidellus,denudatus,144
,,Ooperiglyptus,contractus,144
,,Oxycephalites,curculioides,144
,,Palaeotrachys,laticollis,144
,,Parnosoma,detectum,144
,,Peridosoma,praecisum,144
,,Pholipheron,armatus,144
,,Pholipheron,articulatus,144
,,Proheuristes,striatus,144
,,Rhomaleus,ornatus,144
,,Rhysopsalis,distorta,144
,,Scalopoides,inscissus,144
,,Sideriosemion,punctolineatum,144
,,Sphaericites,concameratus,144
,,Sphaerocantharis,defossa,144
,,Sphaerocantharis,striatus,144
,,Syntomopterus,latus,144
,,Tetragonides,magnus,144
,,Trichelepturgetes,procerus,144
,,Tripsalis,praecisa,144
,,Trochiscites,capitapertus,144
,,Trochmalus,compressus,144
,,Chlaeniopsis,solitarius,169
,,Opsis,bavarica,169
,,Parasilphites,angusticollis,169
,,Prochrysomela,jurassica,169
,,Progeotrupes,jurassicus,169
,,Pseudotenebrio,innominatus,169
,,Pseudotenebrio,relictus,169
,,Mesoagrites,multipunctatus,174
,,Anomerus,punctifer,210
,,Anypostatus,taurus,210
,,Apioderes,punctatus,210
,,Apsychus,alutaceus,210
,,Bareus,strigipennis,210
,,Bathygerus,belllus,210
,,Bathygerus,divergens,210
,,Ecthlimma,forficuloides,210
,,Eurynucha,pseudobuprestis,210
,,Nannoodes,pseudocistela,210
,,Nebrioides,dobbertinensis,210
,,Onkedodimus,discicollis,210
,,Oxytoroptera,mediocris,210
,,Parnidium,frechi,210
,,Parnidium,geinitzi,210
,,Periboloptera,rotunda,210
,,Polypamon,byrrhoides,210
,,Pseudocyphon,geinitzi,210
,,Pseudoprionites,liasinus,210
,,Holcoptera,schlotheimi,213
,,Strullendorfia,parva,214
,,Blaptoides,dubius,217
,,Feronites,velenovskyi,217
,,Lamiites,simillimus,217
,,Velenovskya,inornata,217
,,Brodiola,nana,218
,,Hadrocephalus,anglicus,218
,,Hadrocephalus,liasinus,218
,,Hadrocephalus,minor,218
,,Holcoptera,confluens,218
,,Notokistus,brodiei,218
,,Pseudotelephorus,grandis,218
,,Pseudotelephorus,punctulatus,218
,,Pseudobuprestites,pterophylli,219
,,Pseudocurculionites,prodromus,219
,,Flichea,lotharingiaca,220
,,Heeriaopsis,laevigatum,221
,,Eocoleopteron,roemeri,229
Polyphaga,,Yumenocoleus,tenuis,232
,,Hubeicoleus,tenuis,238
,,Megachorites,brevicollis,239
Polyphaga,Acanthocnemidae,Acanthocnemoides,sukatshevae,206
Archostemata,Ademosynidae,Ademosynoides,sp.1,2
Archostemata,Ademosynidae,Ademosynoides,sp.2,2
Archostemata,Ademosynidae,Ademosynoides,sp.3,2
Archostemata,Ademosynidae,Ademosynoides,sp.4,2
Archostemata,Ademosynidae,Ademosynoides,sp.5,2
Archostemata,Ademosynidae,Ademosynoides,sp.6,2
Archostemata,Ademosynidae,Ademosynoides,sp.7,2
Archostemata,Ademosynidae,Ademosynoides,antarctica,13
Archostemata,Ademosynidae,Ademosynoides,minor,13
Archostemata,Ademosynidae,Permocrossos,elongatus,14
Archostemata,Ademosynidae,Sphaerosyne,globosa,18
Archostemata,Ademosynidae,Ademosyne,prisca,26
Archostemata,Ademosynidae,Ademosyne,reducta,26
Archostemata,Ademosynidae,Ademosyne,speciosa,26
Archostemata,Ademosynidae,Umkomaasia,depressa,26
Archostemata,Ademosynidae,Shepherdia,trivittata,27
Archostemata,Ademosynidae,Lasiosyne,euglyphea,46
Archostemata,Ademosynidae,Ademosyne,adunca,47
Archostemata,Ademosynidae,Ademosyne,angusta,47
Archostemata,Ademosynidae,Ademosyne,australiensis,47
Archostemata,Ademosynidae,Ademosyne,brevis,47
Archostemata,Ademosynidae,Ademosyne,cameroni,47
Archostemata,Ademosynidae,Ademosyne,congener,47
Archostemata,Ademosynidae,Ademosyne,curvata,47
Archostemata,Ademosynidae,Ademosyne,intermedia,47
Archostemata,Ademosynidae,Ademosyne,lata,47
Archostemata,Ademosynidae,Ademosyne,major,47
Archostemata,Ademosynidae,Ademosyne,minor,47
Archostemata,Ademosynidae,Ademosyne,obtusa,47
Archostemata,Ademosynidae,Ademosyne,olliffi,47
Archostemata,Ademosynidae,Ademosyne,parva,47
Archostemata,Ademosynidae,Ademosyne,punctata,47
Archostemata,Ademosynidae,Ademosyne,ramocostata,47
Archostemata,Ademosynidae,Ademosyne,rugulosa,47
Archostemata,Ademosynidae,Ademosyne,tumida,47
Archostemata,Ademosynidae,Ademosyne,vittamargina,47
Archostemata,Ademosynidae,Ademosynoides,abnormis,47
Archostemata,Ademosynidae,Ademosynoides,alternata,47
Archostemata,Ademosynidae,Ademosynoides,angusta,47
Archostemata,Ademosynidae,Ademosynoides,magnifica,47
Archostemata,Ademosynidae,Ademosynoides,minor,47
Archostemata,Ademosynidae,Ademosynoides,obtusa,47
Archostemata,Ademosynidae,Ademosynoides,striatella,47
Archostemata,Ademosynidae,Grammositum,bilineatus,47
Archostemata,Ademosynidae,Platycrossos,ligulatus,47
Archostemata,Ademosynidae,Platycrossos,subtumidus,47
Archostemata,Ademosynidae,Platycrossos,tumida,47
