collection_no,collection_name,formation,epoch,subepoch,ma_max,ma_min,lithdescript
2,Babiy Kamen,Maltsevo Fm.,Permian,Late Permian - Viatkian,259,252.3,siliciclastic
3,"Aargau, Schambelen, Switzerland",Insektenmergel Fm.,Jurassic,Early Jurassic - Hettangian,201.5,196.5,claystone
5,Aix en Provence,"Niveau du gypse d'Aix Fm, Chattian",Oligocene,Late Oligocene ,28.4,23,marls
7,"Albian Amber (Archingeay/Les Nouillers, Charente Maritime), SW France",,Cretaceous,Early Cretaceous - Albian,112,99.6,fossilized resin (retinite)
8,"Brezina, Algeria, ",,Cretaceous,Early Cretaceous - Hauterivian,136.4,130,Siliciclastic
9,"Allenby Fm., One Mile Creek",Allenby Fm.,Eocene,Early Eocene (Ypresian),52.2,51.96,Shale
10,"Brunstatt, Alsace, (Zimmersheim, Mulhouse)",,Oligocene,Early Oligocene,33.9,28.4,clays/marls
12,"Andance - St.-Bauzile, Privas, Ardeche",Lower Turolian,Miocene,Late Miocene,7.5,7.1,diatomite
13,Antarctica - Graham Land,,Jurassic,Early Jurassic,201.5,175.6,shale
14,Soyana,Iva-Gora Fm.,Permian,Middle Permian - Roadian,272.5,268,siliciclastic
15,"Armissan, Aude",Rupelian -Aquitanian,Oligocene,Early Oligocene-Early Miocene,38,20.43,limestone
17,Badaswan Fm. (Junggar Basin),Badaswan Fm. (Badaowan Fm),Jurassic,Early Jurassic - Hettangian,201.5,196.5,silt/sand/mud shales with coal (interbedded)
18,Baissa ,Zaza Fm (Zasin Series),Cretaceous,Early Cretaceous - Berriasian,145.5,140.2,marls/limestone
19,Ust'Balei,Cheremkhovskaya Formation,Jurassic,Early Jurassic - Toarcian,183,175.6,marls/limestone
20,Baltic amber,,Eocene,Early - Middle Eocene (Lutetian),48.6,40.4,fossilized resin
21,Barstow Fm.,Barstow Fm.,Miocene,Early-Middle Miocene,19.3,13.4,calcaereous nodules
22,"Belyj Jar - Gebiet des Flusses Tym, Westsibirien (=Belyy-Yar?)",,Miocene,Miocene,23,5.3,clay
23,"Bering Strait, Alaska = Lava Camp Mine",Imuruk Valley Fm.,Miocene,Late Miocene,5.9,5.5,sandstone (unlithified)
24,Bes-Konak,,Miocene,Early Miocene (Aquit),23,20.4,limestone
25,Bezonnais Resin,,Cretaceous,Late Cretaceous - Cenomanian ,99.6,93.5,fossilized resin (retinite)
26,"Birds's River, Molteno Fm.",Molteno Formation,Triassic,Late Triassic - Norian,230,203.6,unknown
27,Chernyy Etap and Doroninskaya and Lyagushye,Osinovo Formation,Jurassic,Early Jurassic - Toarcian,183,175.6,unknown
28,Bol'shaya Svetlovodnaya ,,Oligocene,Late Oligocene,28.4,23,Diatomite
29,Bon Tsaagan,"Dzun-Bain Fm., Bontsagan series, Khuriltskaya stratum",Cretaceous,Early Cretaceous - Hauterivian,136.4,130,siliclastic
31,Bournemouth = Bagshot Beds = Studland Bay (Creechbarrow and Bovey Tracey)," U. Ypresian, Lutetian",Eocene,Middle Eocene,50,42,clay
32,"Bukukun site, Bukukun series, Kyrin region, ",,Jurassic,Middle Jurassic,175.6,161.2,unknown
34,Burmese Amber (Myanmar),,Cretaceous,Early Cretaceous - Albian,106,100,fossilized resin
36,Celas = Corent = Les Fumades,L. Sannoisian,Eocene,Late Eocene,37.2,33.9,diatomite
37,Cerdanya Basin,,Miocene,Late Miocene,11.6,5.3,mudstone (diatomaceous)
39,Chiapas Amber,,Oligocene,Early Oligocene - Early Miocene,30,20,fossilized resin
40,Chijinpu Fm. (Gansu province),Chijinpu Fm.,Cretaceous,Early Cretaceous - Aptian,125,112,sand/mud/shale/ with a bit of coal
41,"Dorotea Fm., Cerro Guido",Dorotea Fm.,Cretaceous,Late Cretaceous - Maastrichtian,70.6,65.5,unknown
42,Undurga river - Chita oblast,Turga Fm.,Cretaceous,Early Cretaceous - Hauterivian,136.4,130,tuffaceous mudstone
43,"Chusovitino, Tersjukskaja suite",Tersjukskaja Formation,Jurassic,Middle Jurassic - Bajocian,171.6,167.7,unknown
44,"Cnap Twt quarry, near Bridgend",,Jurassic,Early Jurassic - Hettangian,201.5,196.5,marl
45,Dalazi,Dalazi Fm.,Cretaceous,Early Cretaceous - Aptian,125,112,oil shale
46,Daohugou Fm. (Jiulongshan Fm),Daohugou (Jiulongshan) Fm,Jurassic,Middle Jurassic (Callovian) Late Jurassic (Oxfordian),164.7,155.7,shale
47,Denmark Hill (Ipswich Fm),Ipswich Fm.,Triassic,Late Triassic - Carnian,236,230,shale (interbedded in coal)
48,Dominican Amber,El Mamey Fm.,Miocene,Early Miocene (Aquit),16,16,fossilized resin 
49,Purbeck Limestone =Dorset=Durlston Bay = Vale of Wardour,Lulworth Fm.,Cretaceous,Early Cretaceous - Berriasian,145.5,140.2,siliciclastic limestone
51,Wellington Fm.,Wellington Fm (Midco Member),Permian,Early Permian - Artinkskian,284,279.5,shale - limestone
66,Sinigaglia (Scapezzano),,Pliocene,Early Pliocene,5.3,3.6,unknown
68,Florissant,Florissant Fm.,Eocene,Late Eocene,34.01,33,shale
69,Flysch Sediments,"Solan Fm, Magura Grp.",Paleocene,Paleocene,65.5,55.8,claystone
71,Gabbro,,Miocene,Late Miocene,7.2,5.3,limestone
72,"Geiseltal, Germany",,Eocene,Middle Eocene (Lutetian),48.6,40.4,lignite
73,Grassy Lake Amber,"Foremost Formation, Taber Coal Member",Cretaceous,Late Cretaceous - Campanian,83.5,70.6,fossilized resin (retinite)
74,Green River Formation,Green River Fm.,Eocene,Middle Eocene (Lutetian),48.6,40.4,shale
77,Greith coal mine,,Oligocene,Late Oligocene,28.4,23,marl
78,Gurvan-Eren Fm (Huh - Mor't),Gurvan-Eren Fm,Cretaceous,Early Cretaceous - Berriasian,145.5,140.2,shale and mudstone
79,Hachiya Fm.,"Hachiya Fm., Kani Group",Miocene,Early Miocene,22,19.8,mudstone
80,Hanshan Fm (Pengzhuang Village),Hanshan Fm.,Jurassic,Middle Jurassic - Bajocian,171.6,164.7,mudstone
82,Hawkes Bay,,Cretaceous,Late Cretaceous,99.6,65.5,concretion
84,Horsefly Beds,,Eocene,Early-Middle Eocene,52,44,shale (diatomaceous) 
88,John Day,John Day Formation,Oligocene,Early Oligocene,33.9,28.4,shale
90,Karatau-Mikhailovka Galkina,Karabastau Formation,Jurassic,Late Jurassic - Oxfordian,161.2,155.7,shale
91,Karaungir ,Akkolka Formation,Permian,Late Permian - Changhsingian,255,252.3,mudstone
92,Kenderlyk locality,Tologoy Fm. (Tologoi Fm.),Triassic,Late Triassic - Norian,230,203.6,mudstone
93,"Shin-Khuduk (Khuduk), Anda Khuduk",Anda-Khuduk Fm.,Cretaceous,Early Cretaceous - Hauterivian/Barremian,136.4,125,siliciclastic
94,Khutel-Khara,Tsagantsab Fm. ,Cretaceous,Early Cretaceous - Berriasian,145.5,140.2,interbasalt mudstone
95,"Khutsin Formation, Primorsky Krai  (Amgu, Kudya River)",Khutsin Formation,Eocene,Late Eocene - Early Oligocene,37.2,28.4,mudstone (tuffaceous)
96,Kisatibi Fm.,Kisatibi Fm.,Miocene,Late Miocene,7.2,5.3,unknown
97,Koonwarra Fossil Beds,Korumburra Group,Cretaceous,Early Cretaceous - Aptian,125,112,clay
98,Krasnoyarsk,Makarova Formation,Jurassic,Early Jurassic - Toarcian,183,175.6,unknown
99,Kubekovo,Itat Formation,Jurassic,Middle Jurassic - Bajocian,171.6,167.7,claystone
100,"Kutschlin (Kutchlin, Bulinia)",Most Fm. (Libkovice Member),Eocene,Late Eocene,37.2,33.9,diatomite
101,Sokolova - Kuznetsk basin ,Erunakovian series,Permian,Late Permian,260.5,252.3,siliciclastic
102,Kazankovo-Markinskaya Fm.,Kazankovo - Markinskaya Fm.,Permian,Middle Permian -Wordian,268,265,unknown
103,Kaltan - Kuznetsh basin,Mitina Fm. ,Permian,Middle Permian - Roadian,272.5,268,unknown
104,Kyzl-Kija,,Jurassic,Early Jurassic- Pliensbachian,189.6,183,unknown
105,Kzyl-Zhar,,Cretaceous,Late Cretaceous - Turonian,93.5,89.3,mudstones
107,Laiyang,Laiyang Fm.,Cretaceous,Early Cretaceous - Barremian,130,125,paper shales
109,Las Hoyas ,Las Huerguina Fm.,Cretaceous,Early Cretaceous - Barremian,130,125,limestone
110,Latah Fm,Latah Fm.,Miocene,Early-Middle Miocene,21.3,12.1,clay
111,Lebanese amber,,Cretaceous,Early Cretaceous - Aptian,125,112,fossilized resin (retinite)
112,Leskovo,Leskovo Fm. ,Cretaceous,Early Cretaceous - Berriasian,145.5,140.2,unknown
113,Layma (Lima),Tyumen Fm.,Jurassic,Middle Jurassic - Callovian,164.7,161.2,Siliciclastic
114,London Clay=Bognor Regis,Lambeth Grp,Eocene,Early Eocene (Ypresian),55.8,48.6,clay (pyritized)
116,Lushangfeng Fm,Lushangfen Fm.,Cretaceous,Early Cretaceous - Barremian,130,125,mudstone
117,Madygen ,Madygen Fm.,Triassic,Late Triassic - Carnian ,236,230,shale
118,"Obeshchayushchiy locality, Ol'skaya Fm. ",Ola Fm. ,Cretaceous,Late Cretaceous - Cenomanian ,99.6,93.5,shale
119,Manlay (=Manlai) Lake,Manlay Formation,Cretaceous,Early Cretaceous - Aptian,125,112,shale
121,Messel (Grube Messel),Messel Fm.,Eocene,Middle Eocene (Lutetian),47,47,shale
122,Mokrina,Cypris Fm.,Miocene,Middle Miocene,16.9,16,marl
123,Monte Bolca,,Eocene,Middle Eocene,48.6,40.4,limestone
124,Montsec ,La Pedrera de Rubies Fm.,Cretaceous,Early Cretaceous - Barremian,130,125,lithographic limestone
125,Myangad,Gurvan-Eren Fm,Cretaceous,Early Cretaceous - Berriasian,145.5,140.2,mudstone
127,New Jersey Amber,Raritan Formation,Cretaceous,Late Cretaceous - Turonian,93.5,89.3,fossilized resin
128,Nine-Mile Creek,Allenby Fm.,Eocene,Early-Middle Eocene (Ypres-Lutet),55.8,40.4,mudstone
129,Nizhegorodskaya Oblast ,,Jurassic,Middle Jurassic - Bathonian,167.7,164.7,unknown
130,Nogent le Rotrou,,Oligocene,Oligocene,33.9,23,unknown
131,Noto,Yanagida Fm.,Miocene,Early Miocene,23,20.4,unknown
132,"Novospasskoye site, Ichetuy",Ichetuy Formation,Jurassic,Late Jurassic - Oxfordian,161.2,155.7,shale
133,Obora ,Letovice Fm.,Permian,Early Permian - Sakmarian,290,284,mudstone
134,"Ohningen (Oeningen, Bottingen), Badem-Wurttemberg",Molasse Fm.,Miocene,Late Miocene,11.6,5.3,limestone
137,Orapa,,Cretaceous,Late Cretaceous - Turonian,93.5,89.3,mudstone
138,Ortsog Fm.- Bakhar ,Orstog Fm.,Jurassic,Middle Jurassic - Bajocian,171.6,167.7,marls/mudstones/paper shales
